Feature_id	Taxon	Confidence
7e8422c8fdf7b0ef3086b510a7ca4967	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Gastropoda;D_8__Caenogastropoda;D_9__Pugilina morio	0.79722502
952a8e518189bd2049964ff0b42a6acf	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_6__Echinodermata;D_7__Ophiuroidea	0.999992376
0ef98f8520a47a2a22f19c2e81c9ef03	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_5__Ochromonadales;D_6__Paraphysomonas;D_7__uncultured eukaryote	0.997952299
34a25d4cb50b781f0146d264b557a94d	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Eugregarinorida;D_7__Lankesteria;D_8__uncultured eukaryote	0.99999406
41adc9b44f2ac29f04d24d808d0f25b2	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_11__Neopterygii;D_12__Teleostei;D_13__Salmo salar (Atlantic salmon)	0.795631333
d302f0a6cdb95f058dede1b319a86cc7	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.999999628
97ae810e6c1e52156157c28b3c8b1521	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Caryophyllales;D_11__Chenopodium	0.999968932
0e2b50fb96c9a29364a58e5ddf913813	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi	0.776111852
8f3f8e1999ed9397a944a41140c4c307	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Palpata;D_9__Phyllodocida	0.999999747
6b6050d415d916a3d4a2dd83e915069f	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Scolecida;D_9__Capitellida;D_10__uncultured eukaryote	0.911007994
014427dd18f849623e97c98c219082c0	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_9__Copepoda;D_10__Calanoida;D_11__Centropages typicus	0.995777599
550be65cf0c5adb0fb0890732303becc	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 2;D_5__Gregarinasina gen. sp. 4 KCW-2013;D_6__Gregarinasina gen. sp. 4 KCW-2013	0.828585035
23c7ceb10f7d8e8b50035a7b6c40dc25	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Sporidiobolaceae;D_10__Rhodosporidiobolus;D_11__Rhodosporidiobolus odoratus	0.889778214
54571629118fa74793f71280754ed502	D_0__Eukaryota;D_1__Opisthokonta	0.72141283
f3af09bac35b2580bda60021b9b164a4	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_9__Copepoda;D_10__Calanoida;D_11__Acartia hudsonica	1
8dd2fcaea69f0a25b232e0266655880b	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_5__Haplosporida;D_6__Urosporidium	0.809510926
699e33c353fa300aa0405414cb6853b9	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Eugregarinorida;D_7__Lecudina;D_8__uncultured eukaryote	1
c650b708c09ee63704330c225d9e70eb	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Chlorophyta;D_5__Mamiellales;D_6__Bathycoccus	0.999662177
4b5b773999cda6469da763e9c4cb34a7	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Solanales;D_11__Nicotiana	0.945582359
b1ce48a59c60b8caddc8fb7eeeefb045	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.770585704
55485642c849b4632ca21d685bf53090	D_0__Eukaryota;D_1__Opisthokonta	0.734987382
f1ccc39eb13cc464d3659c32f3b4c2bd	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Chromadorea;D_8__Monhysterida;D_9__Sabatieria pulchra	0.9961571
